# 예제 소스에 한글 리터럴을 남겨 둔 파일 (check-example-messages.py)
#
# 규칙은 하나다 --- 예제가 찍는 입출력 메시지는 영어다. 주석은 한국어 그대로 둔다.
#
# ★ 여기 오르는 것은 「번역하기 귀찮은 것」이 아니라 **한글이 실험 대상 자체인 것**뿐이다.
#   문자 집합·와이드 문자·UTF-8 훑기·조합형(Johab) 인코딩 시연에서 "가"·"한글" 은
#   메시지가 아니라 *표본*이다. 영어로 바꾸면 예제가 증명하려던 것이 사라진다.
#   (그런 파일에서도 설명 문구는 영어로 적는다 --- 표본만 한글이다.)
#
# 형식: 파일<TAB>왜 남기는가
ch17/charset.c	리터럴 인코딩 시연 --- "가" 를 char/u8/u/U/L 다섯 가지로 적어 코드 단위를 견준다
ch22/convert.c	%8s 의 폭이 글자가 아니라 *바이트* 로 센다는 것을 보이는 표본(사과·바나나)
ch42/str.c	strlen 이 글자 수가 아니라 바이트 수를 준다는 표본("안녕")
ch48/johab.c	조합형 한글 인코딩의 비트 배치를 뜯어 보는 장 --- '가'·'한' 이 시연 대상이다
ch70/mbrtowc_step.c	멀티바이트를 조각으로 먹이는 시연 --- "한" 을 2+1 바이트로 나눈다
ch70/wide_lit.c	같은 글자 "한" 을 다섯 가지 문자열 리터럴로 적어 요소 크기를 견준다
ch71/surrogate.c	UTF-16 서러게이트 쌍과 세 가지 길이 세기의 표본
ch72/graphemes.c	완성형·조합형과 그래핌 클러스터 시연 --- "가" 두 표기가 핵심이다
ch72/legacy_lead.c	선행/후행 바이트 사고 시연 --- EUC-KR 경로 이름이 표본이다
ch72/utf8_scan.c	UTF-8 자기동기화 시연 --- "a한글b" 의 바이트를 하나씩 짚는다
